thickness,x1,y1,z1,x2,y2,z2
4.99899949957957,83.0,59.0,28.0,83.0,58.0,29.0
5.47035753462233,20.0,30.0,37.0,19.0,29.0,38.0
5.188102530309008,43.0,61.0,35.0,42.0,61.0,36.0
4.99899949957957,83.0,58.0,29.0,83.0,59.0,28.0
5.5,72.0,80.0,32.0,73.0,81.0,33.0
5.549509756796392,39.0,35.0,32.0,40.0,35.0,32.0
4.511042555592008,93.0,54.0,33.0,94.0,53.0,33.0
4.038843615231785,80.0,55.0,34.0,79.0,55.0,33.0
4.685557720282968,81.0,33.0,38.0,81.0,34.0,37.0
5.549509756796392,40.0,35.0,32.0,39.0,35.0,32.0
5.564863726836267,53.0,42.0,40.0,53.0,41.0,41.0
6.701562118716424,95.0,18.0,36.0,95.0,17.0,37.0
5.0,87.0,38.0,33.0,87.0,39.0,33.0
4.300769815329979,70.0,43.0,35.0,71.0,42.0,35.0
5.0,87.0,39.0,33.0,87.0,38.0,33.0
4.038843615231785,79.0,55.0,33.0,80.0,55.0,34.0
3.0,55.0,72.0,34.0,54.0,72.0,34.0
4.99899949957957,27.0,51.0,34.0,27.0,52.0,35.0
5.290658614920568,66.0,63.0,37.0,67.0,63.0,38.0
5.5,73.0,81.0,33.0,72.0,80.0,32.0
6.4031242374328485,94.0,16.0,36.0,95.0,17.0,37.0
5.47035753462233,19.0,29.0,38.0,20.0,30.0,37.0
3.9240959812916367,97.0,72.0,34.0,97.0,73.0,33.0
4.300769815329979,71.0,42.0,35.0,70.0,43.0,35.0
4.685557720282968,81.0,34.0,37.0,81.0,33.0,38.0
4.99899949957957,27.0,52.0,35.0,27.0,51.0,34.0
5.192582403567252,81.0,55.0,47.0,81.0,54.0,48.0
5.692582403567252,9.0,51.0,45.0,10.0,50.0,45.0
5.188102530309008,42.0,61.0,36.0,43.0,61.0,35.0
4.58257569495584,57.0,81.0,39.0,57.0,82.0,38.0
5.290658614920568,67.0,63.0,38.0,66.0,63.0,37.0
5.047565954136494,67.0,63.0,38.0,68.0,64.0,39.0
4.58257569495584,57.0,82.0,38.0,57.0,81.0,39.0
6.701562118716424,95.0,17.0,37.0,95.0,18.0,36.0
6.4031242374328485,95.0,17.0,37.0,94.0,16.0,36.0
5.192582403567252,92.0,4.0,49.0,93.0,5.0,48.0
5.242092160363644,88.0,63.0,49.0,88.0,62.0,49.0
5.820819789010319,48.0,9.0,40.0,48.0,10.0,41.0
5.047565954136494,68.0,64.0,39.0,67.0,63.0,38.0
5.820819789010319,48.0,10.0,41.0,48.0,9.0,40.0
4.357388321059432,76.0,52.0,49.0,77.0,51.0,49.0
4.840797604274313,55.0,61.0,45.0,56.0,60.0,45.0
4.061552812808831,83.0,72.0,40.0,84.0,72.0,41.0
4.123105625617661,74.0,81.0,46.0,74.0,80.0,47.0
5.564863726836267,53.0,41.0,41.0,53.0,42.0,40.0
