node_id,node_coordinate_x,node_coordinate_y,node_coordinate_z,coordination-number
2277,15.0,14.0,12.0,3.0
2254,31.0,9.0,12.0,3.0
2269,26.0,11.0,12.0,3.0
2089,28.0,17.0,11.0,3.0
3597,2.0,15.0,20.0,3.0
2095,89.0,19.0,11.0,3.0
2467,90.0,10.0,13.0,3.0
3130,24.0,23.0,17.0,3.0
3743,84.0,21.0,21.0,3.0
2137,56.0,38.0,11.0,3.0
2813,49.0,29.0,15.0,3.0
2304,97.0,35.0,12.0,3.0
2823,28.0,37.0,15.0,4.0
3135,39.0,29.0,17.0,3.0
2311,73.0,36.0,12.0,3.0
2669,83.0,36.0,14.0,3.0
2843,55.0,46.0,15.0,3.0
2689,44.0,46.0,14.0,4.0
2152,3.0,55.0,11.0,3.0
2714,55.0,60.0,14.0,3.0
2352,12.0,65.0,12.0,3.0
2361,20.0,66.0,12.0,3.0
2710,1.0,59.0,14.0,3.0
2379,5.0,70.0,12.0,3.0
2606,66.0,89.0,13.0,4.0
2908,22.0,79.0,15.0,3.0
3702,23.0,93.0,20.0,3.0
3089,44.0,85.0,16.0,3.0
2222,66.0,96.0,11.0,3.0
2622,85.0,99.0,13.0,3.0
2782,74.0,98.0,14.0,3.0
2456,47.0,8.0,13.0,3.0
2632,70.0,7.0,14.0,3.0
3290,31.0,3.0,18.0,3.0
2466,60.0,10.0,13.0,3.0
2283,15.0,20.0,12.0,3.0
2470,13.0,13.0,13.0,3.0
3938,14.0,20.0,22.0,3.0
2811,63.0,28.0,15.0,3.0
2496,67.0,37.0,13.0,3.0
3783,97.0,29.0,21.0,3.0
2827,90.0,40.0,15.0,3.0
3329,17.0,31.0,18.0,3.0
2511,12.0,49.0,13.0,3.0
2534,22.0,61.0,13.0,3.0
2512,26.0,49.0,13.0,3.0
2527,35.0,58.0,13.0,3.0
2718,23.0,62.0,14.0,3.0
2751,19.0,77.0,14.0,3.0
2727,25.0,66.0,14.0,3.0
2549,31.0,68.0,13.0,3.0
3223,75.0,61.0,17.0,3.0
2393,96.0,73.0,12.0,3.0
3038,88.0,61.0,16.0,3.0
2536,12.0,66.0,13.0,4.0
2911,6.0,80.0,15.0,3.0
2400,61.0,75.0,12.0,3.0
2559,65.0,71.0,13.0,3.0
2557,87.0,70.0,13.0,3.0
2556,76.0,70.0,13.0,3.0
2604,36.0,89.0,13.0,3.0
3073,34.0,79.0,16.0,4.0
2767,53.0,88.0,14.0,3.0
2589,85.0,86.0,13.0,3.0
2768,76.0,88.0,14.0,3.0
2465,49.0,10.0,13.0,3.0
3449,46.0,3.0,19.0,3.0
3909,38.0,14.0,22.0,3.0
3736,49.0,16.0,21.0,4.0
2792,82.0,8.0,15.0,3.0
2638,92.0,9.0,14.0,3.0
3725,12.0,13.0,21.0,4.0
2973,9.0,32.0,16.0,3.0
3008,67.0,46.0,16.0,3.0
3337,10.0,42.0,18.0,3.0
2520,5.0,53.0,13.0,3.0
2691,23.0,47.0,14.0,3.0
3654,5.0,56.0,20.0,4.0
3051,36.0,64.0,16.0,4.0
3380,12.0,66.0,18.0,3.0
2723,36.0,65.0,14.0,3.0
3062,79.0,73.0,16.0,3.0
2900,90.0,72.0,15.0,3.0
2745,68.0,73.0,14.0,3.0
2929,88.0,89.0,15.0,3.0
2932,36.0,93.0,15.0,3.0
3860,65.0,88.0,21.0,3.0
3877,84.0,96.0,21.0,3.0
2950,70.0,6.0,16.0,3.0
2675,77.0,38.0,14.0,3.0
3490,84.0,29.0,19.0,3.0
3172,78.0,46.0,17.0,3.0
2842,44.0,46.0,15.0,3.0
3155,22.0,42.0,17.0,4.0
2862,18.0,51.0,15.0,3.0
3199,80.0,57.0,17.0,3.0
3190,90.0,49.0,17.0,3.0
3660,1.0,60.0,20.0,3.0
3228,46.0,63.0,17.0,3.0
3210,56.0,60.0,17.0,3.0
2883,63.0,62.0,15.0,3.0
2889,37.0,65.0,15.0,3.0
4433,23.0,69.0,24.0,3.0
3837,68.0,76.0,21.0,3.0
2754,21.0,78.0,14.0,3.0
3071,19.0,79.0,16.0,3.0
2920,54.0,87.0,15.0,3.0
2921,77.0,87.0,15.0,3.0
2930,97.0,89.0,15.0,3.0
3872,73.0,94.0,21.0,3.0
3118,82.0,7.0,17.0,3.0
2952,93.0,8.0,16.0,4.0
3473,62.0,27.0,19.0,4.0
3320,49.0,28.0,18.0,3.0
2981,27.0,37.0,16.0,3.0
2849,43.0,47.0,15.0,4.0
3009,57.0,48.0,16.0,3.0
3001,45.0,46.0,16.0,3.0
2856,30.0,49.0,15.0,3.0
3161,33.0,45.0,17.0,3.0
3195,41.0,53.0,17.0,3.0
3019,30.0,52.0,16.0,3.0
3197,18.0,55.0,17.0,3.0
3201,68.0,58.0,17.0,3.0
3844,90.0,77.0,21.0,3.0
3064,31.0,77.0,16.0,3.0
3255,7.0,81.0,17.0,4.0
4076,54.0,90.0,22.0,4.0
4047,78.0,78.0,22.0,3.0
3701,74.0,92.0,20.0,3.0
3874,84.0,95.0,21.0,3.0
3092,91.0,87.0,16.0,3.0
3431,98.0,95.0,18.0,3.0
3868,35.0,93.0,21.0,3.0
2937,0.0,97.0,15.0,1.0
4823,70.0,2.0,27.0,3.0
3727,71.0,13.0,21.0,3.0
3904,91.0,13.0,22.0,3.0
3323,13.0,29.0,18.0,4.0
3498,3.0,32.0,19.0,3.0
2989,22.0,41.0,16.0,3.0
3173,58.0,47.0,17.0,3.0
3174,68.0,47.0,17.0,3.0
3999,30.0,56.0,22.0,3.0
3208,90.0,59.0,17.0,3.0
4775,33.0,69.0,26.0,3.0
3839,78.0,76.0,21.0,3.0
3258,15.0,82.0,17.0,3.0
3248,32.0,78.0,17.0,3.0
3407,43.0,78.0,18.0,3.0
3291,82.0,3.0,18.0,3.0
3903,81.0,13.0,22.0,3.0
3132,24.0,25.0,17.0,3.0
3916,25.0,15.0,22.0,3.0
3319,38.0,28.0,18.0,3.0
3986,21.0,41.0,22.0,4.0
3339,33.0,43.0,18.0,3.0
3177,69.0,48.0,17.0,3.0
3509,80.0,48.0,19.0,3.0
5090,68.0,45.0,28.0,4.0
3353,81.0,49.0,18.0,3.0
3351,92.0,48.0,18.0,3.0
4001,41.0,56.0,22.0,3.0
3807,18.0,56.0,21.0,3.0
3215,87.0,60.0,17.0,3.0
3363,69.0,59.0,18.0,3.0
3370,97.0,61.0,18.0,3.0
3229,59.0,63.0,17.0,3.0
4244,55.0,57.0,23.0,3.0
4600,86.0,61.0,25.0,3.0
3359,77.0,58.0,18.0,3.0
3231,44.0,65.0,17.0,3.0
3534,44.0,76.0,19.0,3.0
3391,44.0,77.0,18.0,3.0
3409,54.0,79.0,18.0,3.0
3542,32.0,79.0,19.0,3.0
3422,5.0,92.0,18.0,3.0
3559,17.0,91.0,19.0,3.0
3451,57.0,4.0,19.0,3.0
4114,33.0,4.0,23.0,3.0
3587,94.0,3.0,20.0,3.0
4836,80.0,4.0,27.0,3.0
3606,36.0,26.0,20.0,3.0
3472,48.0,27.0,19.0,3.0
3633,51.0,29.0,20.0,3.0
3487,14.0,29.0,19.0,3.0
3477,25.0,28.0,19.0,4.0
3644,10.0,41.0,20.0,3.0
3507,91.0,46.0,19.0,3.0
4411,78.0,55.0,24.0,3.0
3368,74.0,61.0,18.0,4.0
4588,65.0,57.0,25.0,3.0
4601,98.0,61.0,25.0,3.0
4251,12.0,69.0,23.0,3.0
3536,58.0,76.0,19.0,3.0
3567,9.0,94.0,19.0,3.0
4994,91.0,91.0,27.0,3.0
3580,9.0,2.0,20.0,3.0
4302,21.0,3.0,24.0,3.0
3286,46.0,2.0,18.0,1.0
3632,40.0,29.0,20.0,3.0
3624,71.0,27.0,20.0,4.0
3618,61.0,27.0,20.0,3.0
4858,23.0,25.0,27.0,4.0
3496,15.0,31.0,19.0,3.0
3975,4.0,37.0,22.0,3.0
4566,92.0,46.0,25.0,3.0
4402,80.0,49.0,24.0,3.0
3684,45.0,77.0,20.0,3.0
3841,58.0,77.0,21.0,3.0
4976,32.0,70.0,27.0,4.0
3858,17.0,87.0,21.0,3.0
3871,22.0,94.0,21.0,3.0
5503,6.0,96.0,30.0,3.0
3883,8.0,2.0,22.0,3.0
5022,96.0,4.0,28.0,3.0
3924,5.0,17.0,22.0,3.0
3637,28.0,30.0,20.0,4.0
4160,61.0,16.0,23.0,3.0
3774,60.0,28.0,21.0,4.0
3760,72.0,26.0,21.0,3.0
3965,71.0,30.0,22.0,3.0
4374,40.0,34.0,24.0,3.0
3958,59.0,28.0,22.0,3.0
